UserID,UserNo,Started,Ended,Q1,Q2,UK,Q3.1. 0 - 7 years old,Q3.2. 8 - 14 years old,Q3.3. 15 - 19 years old,Q3.4. 20 +,Q4,Q5,Q6
140315341,35,07/05/2020 05:12,07/05/2020 05:13,I have read the above and understand how my personal data and the data that I provide will be used and processed by Diamond and STFC.,Australia,,1,1,-,2,Once or twice a week,finding answers to unsolved questions or problems,Yes
140315361,36,07/05/2020 05:15,07/05/2020 05:18,I have read the above and understand how my personal data and the data that I provide will be used and processed by Diamond and STFC.,Ox110ua,1,1,-,-,2,-,Search for knowledge every day,-
140315817,38,07/05/2020 06:16,07/05/2020 06:39,I have read the above and understand how my personal data and the data that I provide will be used and processed by Diamond and STFC.,Australia,,-,1,-,1,Every day,exploration. discovery.,Yes
140316136,39,07/05/2020 06:42,07/05/2020 06:46,I have read the above and understand how my personal data and the data that I provide will be used and processed by Diamond and STFC.,Finland,,-,-,-,2,Once or twice a week,investigation,Yes
140316194,40,07/05/2020 06:46,07/05/2020 06:46,I have read the above and understand how my personal data and the data that I provide will be used and processed by Diamond and STFC.,-,,-,-,-,-,-,-,-
140316746,41,07/05/2020 07:17,07/05/2020 07:20,I have read the above and understand how my personal data and the data that I provide will be used and processed by Diamond and STFC.,Germany,,-,2,-,1,Every day,Curiosity,Yes
140316780,42,07/05/2020 07:19,07/05/2020 07:22,I have read the above and understand how my personal data and the data that I provide will be used and processed by Diamond and STFC.,S1 2GT,1,-,-,-,4,Every day,finding answers to questions,Yes
140317072,43,07/05/2020 07:31,07/05/2020 07:34,I have read the above and understand how my personal data and the data that I provide will be used and processed by Diamond and STFC.,YO42,1,-,1,-,2,Once or twice a week,understanding (among other things) that such a sentence can't be readily completed in one word.,Yes
140317241,44,07/05/2020 07:38,07/05/2020 07:42,I have read the above and understand how my personal data and the data that I provide will be used and processed by Diamond and STFC.,Australia,,-,-,2,6,Once or twice a week,curiosity.,Yes
140317327,45,07/05/2020 07:40,07/05/2020 07:42,I have read the above and understand how my personal data and the data that I provide will be used and processed by Diamond and STFC.,Australia,,-,-,-,2,Every day,A new problem to solve or skill to learn every day.,Yes
140317254,46,07/05/2020 07:38,07/05/2020 07:42,I have read the above and understand how my personal data and the data that I provide will be used and processed by Diamond and STFC.,Germany,,0,0,0,5,Every day,discovering,Yes
140318073,47,07/05/2020 08:04,07/05/2020 08:05,I have read the above and understand how my personal data and the data that I provide will be used and processed by Diamond and STFC.,Ba2,1,-,-,-,2,Every day,Hard work,Yes
140318750,48,07/05/2020 08:20,07/05/2020 08:22,I have read the above and understand how my personal data and the data that I provide will be used and processed by Diamond and STFC.,USA,,1,1,0,2,Every day,"Develop interpretations to try and understand the universe as we see it, and keep an open mind because we will be wrong a lot! Always more to learn...",Yes
140319046,49,07/05/2020 08:25,07/05/2020 08:26,I have read the above and understand how my personal data and the data that I provide will be used and processed by Diamond and STFC.,-,,-,-,-,-,-,-,-
140320473,50,07/05/2020 08:51,07/05/2020 08:52,I have read the above and understand how my personal data and the data that I provide will be used and processed by Diamond and STFC.,Germany,,1,-,-,2,Every day,always trying to understand how things work,Yes
140320562,51,07/05/2020 08:53,07/05/2020 08:53,I have read the above and understand how my personal data and the data that I provide will be used and processed by Diamond and STFC.,-,,-,-,-,-,-,-,-
